leaderAction, followerAction, leaderProfit, followerProfit, leaderEstimatedProfit, followerEstimatedProfit, price
0.010000, 0.160000, 0.023500, 0.356000, 0.193252, 0.278853, 2.830000
0.010000, 0.170000, 0.023417, 0.375417, 0.193252, 0.278853, 2.820000
0.010000, 0.180000, 0.023333, 0.394500, 0.193252, 0.278853, 2.810000
0.010000, 0.190000, 0.023250, 0.413250, 0.193252, 0.278853, 2.800000
0.010000, 0.200000, 0.023167, 0.431667, 0.193252, 0.278853, 2.790000
0.010000, 0.210000, 0.023083, 0.449750, 0.193252, 0.278853, 2.780000
0.010000, 0.220000, 0.023000, 0.467500, 0.193252, 0.278853, 2.770000
0.010000, 0.230000, 0.022917, 0.484917, 0.193252, 0.278853, 2.760000
0.010000, 0.240000, 0.022833, 0.502000, 0.193252, 0.278853, 2.750000
0.010000, 0.250000, 0.022750, 0.518750, 0.193252, 0.278853, 2.740000
0.010000, 0.260000, 0.022667, 0.535167, 0.193252, 0.278853, 2.730000
0.010000, 0.270000, 0.022583, 0.551250, 0.193252, 0.278853, 2.720000
0.010000, 0.280000, 0.022500, 0.567000, 0.193252, 0.278853, 2.710000
0.010000, 0.290000, 0.022417, 0.582417, 0.193252, 0.278853, 2.700000
0.010000, 0.300000, 0.022333, 0.597500, 0.193252, 0.278853, 2.690000
0.010000, 0.310000, 0.022250, 0.612250, 0.193252, 0.278853, 2.680000
0.010000, 0.320000, 0.022167, 0.626667, 0.193252, 0.278853, 2.670000
0.010000, 0.330000, 0.022083, 0.640750, 0.193252, 0.278853, 2.660000
0.010000, 0.340000, 0.022000, 0.654500, 0.193252, 0.278853, 2.650000
0.010000, 0.350000, 0.021917, 0.667917, 0.193252, 0.278853, 2.640000
0.010000, 0.360000, 0.021833, 0.681000, 0.193252, 0.278853, 2.630000
0.010000, 0.370000, 0.021750, 0.693750, 0.193252, 0.278853, 2.620000
0.010000, 0.380000, 0.021667, 0.706167, 0.193252, 0.278853, 2.610000
0.010000, 0.390000, 0.021583, 0.718250, 0.193252, 0.278853, 2.600000
0.010000, 0.400000, 0.021500, 0.730000, 0.193252, 0.278853, 2.590000
0.010000, 0.410000, 0.021417, 0.741417, 0.193252, 0.278853, 2.580000
0.010000, 0.420000, 0.021333, 0.752500, 0.193252, 0.278853, 2.570000
0.010000, 0.430000, 0.021250, 0.763250, 0.193252, 0.278853, 2.560000
0.010000, 0.440000, 0.021167, 0.773667, 0.193252, 0.278853, 2.550000
0.010000, 0.450000, 0.021083, 0.783750, 0.193252, 0.278853, 2.540000
0.010000, 0.460000, 0.021000, 0.793500, 0.193252, 0.278853, 2.530000
0.010000, 0.470000, 0.020917, 0.802917, 0.193252, 0.278853, 2.520000
0.010000, 0.480000, 0.020833, 0.812000, 0.193252, 0.278853, 2.510000
0.010000, 0.490000, 0.020750, 0.820750, 0.193252, 0.278853, 2.500000
0.010000, 0.500000, 0.020667, 0.829167, 0.193252, 0.278853, 2.490000
0.010000, 0.510000, 0.020583, 0.837250, 0.193252, 0.278853, 2.480000
0.010000, 0.520000, 0.020500, 0.845000, 0.193252, 0.278853, 2.470000
0.010000, 0.530000, 0.020417, 0.852417, 0.193252, 0.278853, 2.460000
0.010000, 0.540000, 0.020333, 0.859500, 0.193252, 0.278853, 2.450000
0.010000, 0.550000, 0.020250, 0.866250, 0.193252, 0.278853, 2.440000
0.010000, 0.560000, 0.020167, 0.872667, 0.193252, 0.278853, 2.430000
0.010000, 0.570000, 0.020083, 0.878750, 0.193252, 0.278853, 2.420000
0.010000, 0.580000, 0.020000, 0.884500, 0.193252, 0.278853, 2.410000
0.010000, 0.590000, 0.019917, 0.889917, 0.193252, 0.278853, 2.400000
0.010000, 0.600000, 0.019833, 0.895000, 0.193252, 0.278853, 2.390000
0.010000, 0.610000, 0.019750, 0.899750, 0.193252, 0.278853, 2.380000
0.010000, 0.620000, 0.019667, 0.904167, 0.193252, 0.278853, 2.370000
0.010000, 0.630000, 0.019583, 0.908250, 0.193252, 0.278853, 2.360000
0.010000, 0.640000, 0.019500, 0.912000, 0.193252, 0.278853, 2.350000
0.010000, 0.650000, 0.019417, 0.915417, 0.193252, 0.278853, 2.340000
0.010000, 0.660000, 0.019333, 0.918500, 0.193252, 0.278853, 2.330000
0.010000, 0.670000, 0.019250, 0.921250, 0.193252, 0.278853, 2.320000
0.010000, 0.680000, 0.019167, 0.923667, 0.193252, 0.278853, 2.310000
0.010000, 0.690000, 0.019083, 0.925750, 0.193252, 0.278853, 2.300000
0.010000, 0.700000, 0.019000, 0.927500, 0.193252, 0.278853, 2.290000
