round, random_action, action, bestAction, profit, whitenoise
260, 0.847769, 0.531378, 0.326115, 0.584657, 1
261, 0.579203, 0.485813, 0.460398, 0.316862, 0
262, 0.226452, 0.490905, 0.636774, 0.452023, 0
263, 0.963987, 0.494899, 0.268006, 0.630278, 0
264, 0.908992, 0.483611, 0.295504, 0.259222, 0
265, 0.033211, 0.484653, 0.733394, 0.286434, 0
266, 0.353082, 0.494677, 0.573459, 0.725587, 0
267, 0.167204, 0.494980, 0.666398, 0.567701, 0
268, 0.558221, 0.494831, 0.470889, 0.659509, 0
269, 0.870252, 0.491302, 0.314874, 0.462698, 0
270, 0.747097, 0.700026, 0.376452, 0.440840, 1
271, 0.346427, 0.487721, 0.576787, 0.367207, 0
272, 0.899896, 0.494981, 0.300052, 0.570997, 0
273, 0.215492, 0.484825, 0.642254, 0.290946, 0
274, 0.842876, 0.494887, 0.328562, 0.635686, 0
275, 0.247998, 0.485906, 0.626001, 0.319300, 0
276, 0.339685, 0.494924, 0.580158, 0.619646, 0
277, 0.825534, 0.494982, 0.337233, 0.574336, 0
278, 0.129319, 0.486235, 0.685341, 0.327949, 0
279, 0.990463, 0.494788, 0.254769, 0.678196, 0
280, 0.451923, 0.000000, 0.524038, 0.000000, 1
281, 0.379053, 0.493318, 0.560473, 0.517035, 0
282, 0.792409, 0.494700, 0.353796, 0.554533, 0
283, 0.859600, 0.486863, 0.320200, 0.344500, 0
284, 0.841926, 0.485589, 0.329037, 0.310971, 0
285, 0.916754, 0.485924, 0.291623, 0.319774, 0
286, 0.180628, 0.484506, 0.659686, 0.282586, 0
287, 0.793822, 0.494847, 0.353089, 0.652887, 0
288, 0.697103, 0.486836, 0.401449, 0.343793, 0
289, 0.257843, 0.488669, 0.621078, 0.392351, 0
290, 0.824782, 0.394163, 0.337609, 0.489612, 1
291, 0.619037, 0.486249, 0.440481, 0.328324, 0
292, 0.264600, 0.490149, 0.617700, 0.431803, 0
293, 0.649738, 0.494943, 0.425131, 0.611453, 0
294, 0.889315, 0.489567, 0.305342, 0.416261, 0
295, 0.994440, 0.485026, 0.252780, 0.296198, 0
296, 0.989172, 0.483034, 0.255414, 0.244203, 0
297, 0.161661, 0.483134, 0.669169, 0.246798, 0
298, 0.193953, 0.494825, 0.653024, 0.662243, 0
299, 0.527261, 0.494862, 0.486370, 0.646313, 0
300, 0.018671, 0.585724, 0.740665, 0.569757, 1
301, 0.043085, 0.494635, 0.728458, 0.732717, 0
302, 0.967964, 0.494688, 0.266018, 0.720719, 0
303, 0.722188, 0.483535, 0.388906, 0.257258, 0
304, 0.444139, 0.488194, 0.527931, 0.379723, 0
305, 0.211922, 0.493466, 0.644039, 0.521032, 0
306, 0.925206, 0.494883, 0.287397, 0.637447, 0
307, 0.076201, 0.484346, 0.711900, 0.278399, 0
308, 0.908916, 0.494727, 0.295542, 0.704391, 0
309, 0.358370, 0.484654, 0.570815, 0.286471, 0
310, 0.447636, 0.286509, 0.526182, 0.327087, 1
311, 0.756071, 0.493400, 0.371964, 0.519236, 0
312, 0.974302, 0.487551, 0.262849, 0.362703, 0
313, 0.344931, 0.483415, 0.577535, 0.254131, 0
314, 0.211402, 0.494981, 0.644299, 0.571738, 0
315, 0.125428, 0.494882, 0.687286, 0.637704, 0
316, 0.448553, 0.494783, 0.525724, 0.680115, 0
317, 0.390992, 0.493382, 0.554504, 0.518765, 0
318, 0.447781, 0.494474, 0.526110, 0.548376, 0
319, 0.769518, 0.493397, 0.365241, 0.519162, 0
320, 0.431537, 0.300418, 0.534232, 0.219450, 1
321, 0.957201, 0.493705, 0.271399, 0.527506, 0
322, 0.548370, 0.483739, 0.475815, 0.262573, 0
323, 0.573518, 0.491489, 0.463241, 0.467716, 0
324, 0.961721, 0.491012, 0.269139, 0.454914, 0
325, 0.961190, 0.483654, 0.269405, 0.260341, 0
326, 0.833627, 0.483664, 0.333187, 0.260603, 0
327, 0.910311, 0.486081, 0.294844, 0.323912, 0
328, 0.103312, 0.484628, 0.698344, 0.285780, 0
329, 0.418102, 0.494758, 0.540949, 0.691022, 0
330, 0.161116, 0.748131, 0.669442, 0.809401, 1
331, 0.214197, 0.494824, 0.642902, 0.662512, 0
332, 0.637521, 0.494885, 0.431240, 0.636325, 0
333, 0.926726, 0.489799, 0.286637, 0.422441, 0
334, 0.855635, 0.484317, 0.322183, 0.277646, 0
335, 0.103673, 0.485664, 0.698163, 0.312945, 0
336, 0.193075, 0.494758, 0.653463, 0.690844, 0
337, 0.594792, 0.494861, 0.452604, 0.646746, 0
338, 0.736248, 0.490609, 0.381876, 0.444103, 0
339, 0.737879, 0.487927, 0.381061, 0.372655, 0
340, 0.694666, 0.560902, 0.402667, 0.427475, 1
341, 0.905055, 0.488715, 0.297473, 0.393579, 0
342, 0.305198, 0.484728, 0.597401, 0.288386, 0
343, 0.506220, 0.494989, 0.496890, 0.591414, 0
344, 0.890855, 0.492289, 0.304573, 0.489227, 0
345, 0.466950, 0.484997, 0.516525, 0.295433, 0
346, 0.024382, 0.493033, 0.737809, 0.509328, 0
347, 0.794837, 0.494657, 0.352582, 0.729924, 0
348, 0.741233, 0.486817, 0.379384, 0.343285, 0
349, 0.498861, 0.487833, 0.500570, 0.370151, 0
350, 0.685466, 0.749979, 0.407267, 0.750833, 1
351, 0.831486, 0.488890, 0.334257, 0.398218, 0
352, 0.703032, 0.486122, 0.398484, 0.324979, 0
353, 0.904415, 0.488557, 0.297792, 0.389364, 0
354, 0.146259, 0.484740, 0.676871, 0.288704, 0
355, 0.249528, 0.494807, 0.625236, 0.669841, 0
356, 0.422838, 0.494926, 0.538581, 0.618891, 0
357, 0.283595, 0.493870, 0.608202, 0.531978, 0
358, 0.113444, 0.494965, 0.693278, 0.602078, 0
359, 0.261817, 0.494769, 0.619092, 0.686026, 0
360, 0.571262, 0.328214, 0.464369, 0.406389, 1
361, 0.360211, 0.491055, 0.569894, 0.456061, 0
362, 0.549659, 0.494978, 0.475170, 0.564171, 0
363, 0.447115, 0.491465, 0.526443, 0.467059, 0
364, 0.740600, 0.493410, 0.379700, 0.519504, 0
365, 0.878251, 0.487845, 0.310874, 0.370469, 0
366, 0.584801, 0.485236, 0.457600, 0.301695, 0
367, 0.849826, 0.490798, 0.325087, 0.449178, 0
368, 0.078624, 0.485774, 0.710688, 0.315838, 0
369, 0.599492, 0.494729, 0.450254, 0.703196, 0
370, 0.870745, 0.610775, 0.314627, 0.550008, 1
371, 0.994215, 0.485378, 0.252893, 0.305426, 0
372, 0.493293, 0.483038, 0.503354, 0.244314, 0
373, 0.334557, 0.492534, 0.582721, 0.495837, 0
374, 0.928586, 0.494983, 0.285707, 0.576875, 0
375, 0.919836, 0.484282, 0.290082, 0.276725, 0
376, 0.282083, 0.484447, 0.608959, 0.281059, 0
377, 0.054983, 0.494963, 0.722509, 0.602824, 0
378, 0.346092, 0.494702, 0.576954, 0.714853, 0
379, 0.092605, 0.494981, 0.703698, 0.571163, 0
380, 0.751602, 0.246428, 0.374199, 0.346821, 1
381, 0.620723, 0.487636, 0.439639, 0.364946, 0
382, 0.779433, 0.490117, 0.360283, 0.430949, 0
383, 0.035064, 0.487108, 0.732468, 0.350994, 0
384, 0.234567, 0.494679, 0.632717, 0.724673, 0
385, 0.332714, 0.494909, 0.583643, 0.626274, 0
386, 0.448445, 0.494984, 0.525778, 0.577788, 0
387, 0.718283, 0.493384, 0.390859, 0.518821, 0
388, 0.808096, 0.488268, 0.345952, 0.381687, 0
389, 0.821450, 0.486565, 0.339275, 0.336656, 0
390, 0.436091, 0.511599, 0.531955, 0.347145, 1
391, 0.966828, 0.493619, 0.266586, 0.525165, 0
392, 0.151343, 0.483557, 0.674328, 0.257819, 0
393, 0.102190, 0.494813, 0.698905, 0.667333, 0
394, 0.318640, 0.494756, 0.590680, 0.691575, 0
395, 0.832015, 0.494987, 0.333993, 0.584757, 0
396, 0.379376, 0.486112, 0.560312, 0.324716, 0
397, 0.653070, 0.494694, 0.423465, 0.554366, 0
398, 0.828492, 0.489504, 0.335754, 0.414576, 0
399, 0.768516, 0.486179, 0.365742, 0.326473, 0
400, 0.758334, 0.213418, 0.370833, 0.156112, 1
401, 0.751554, 0.487508, 0.374223, 0.361568, 0
402, 0.560735, 0.487637, 0.469632, 0.364970, 0
403, 0.473714, 0.491255, 0.513143, 0.461418, 0
404, 0.234529, 0.492905, 0.632736, 0.505862, 0
405, 0.177423, 0.494909, 0.661289, 0.626293, 0
406, 0.577252, 0.494843, 0.461374, 0.654468, 0
407, 0.934935, 0.490942, 0.282532, 0.453015, 0
408, 0.313515, 0.484161, 0.593243, 0.273582, 0
409, 0.954921, 0.494988, 0.272540, 0.587295, 0
410, 0.544084, 0.505325, 0.477958, 0.275442, 1
411, 0.433635, 0.491571, 0.533183, 0.469900, 0
412, 0.788779, 0.493665, 0.355610, 0.526427, 0
413, 0.610689, 0.486931, 0.444656, 0.346316, 0
414, 0.809068, 0.490308, 0.345466, 0.436036, 0
415, 0.999099, 0.486547, 0.250451, 0.336171, 0
416, 0.087466, 0.482946, 0.706267, 0.241908, 0
417, 0.691311, 0.494740, 0.404345, 0.698836, 0
418, 0.055285, 0.488779, 0.722357, 0.395270, 0
419, 0.022832, 0.494702, 0.738584, 0.714704, 0
420, 0.326752, 0.498311, 0.586624, 0.736089, 1
421, 0.867537, 0.494985, 0.316232, 0.580740, 0
422, 0.633373, 0.485439, 0.433313, 0.307022, 0
423, 0.909191, 0.489878, 0.295405, 0.424541, 0
424, 0.182420, 0.484649, 0.658790, 0.286335, 0
425, 0.718430, 0.494849, 0.390785, 0.652003, 0
426, 0.482023, 0.488265, 0.508988, 0.381613, 0
427, 0.427224, 0.492747, 0.536388, 0.501606, 0
428, 0.948043, 0.493787, 0.275979, 0.529722, 0
429, 0.748248, 0.483913, 0.375876, 0.267099, 0
430, 0.466240, 0.584367, 0.516880, 0.439299, 1
431, 0.419585, 0.493047, 0.540207, 0.509692, 0
432, 0.861838, 0.493932, 0.319081, 0.533651, 0
433, 0.640194, 0.485547, 0.429903, 0.309857, 0
434, 0.777730, 0.489748, 0.361135, 0.421088, 0
435, 0.950395, 0.487141, 0.274802, 0.351847, 0
436, 0.483086, 0.483868, 0.508457, 0.265936, 0
437, 0.440182, 0.492727, 0.529909, 0.501061, 0
438, 0.254573, 0.493541, 0.622714, 0.523064, 0
439, 0.689849, 0.494932, 0.405076, 0.616401, 0
440, 0.098760, 0.302038, 0.700620, 0.244696, 1
441, 0.300782, 0.494753, 0.599609, 0.693267, 0
442, 0.746887, 0.494985, 0.376556, 0.593595, 0
443, 0.131884, 0.487725, 0.684058, 0.367312, 0
444, 0.400959, 0.494791, 0.549520, 0.676931, 0
445, 0.791968, 0.494285, 0.354016, 0.543239, 0
446, 0.265013, 0.486871, 0.617494, 0.344720, 0
447, 0.236783, 0.494944, 0.631608, 0.611249, 0
448, 0.294734, 0.494911, 0.602633, 0.625180, 0
449, 0.260638, 0.494978, 0.619681, 0.596580, 0
450, 0.705288, 0.000000, 0.397356, 0.000000, 1
451, 0.328690, 0.488514, 0.585655, 0.388228, 0
452, 0.602180, 0.494985, 0.448910, 0.579781, 0
453, 0.541004, 0.490469, 0.479498, 0.440353, 0
454, 0.924933, 0.491629, 0.287533, 0.471470, 0
