round, random_action, action, bestAction, profit, whitenoise, estimated_profit
148, 0.098331, 0.134978, 0.362709, 0.242808, 0.285200, 0.589021
149, 0.059986, 0.743543, 0.367502, 0.876503, 0.285100, 0.581036
150, 0.083537, 0.724035, 0.364558, 0.900183, 0.000000, 0.581029
151, 0.547763, 0.770697, 0.306530, 0.883135, 0.284900, 0.580768
152, 0.489021, 0.771792, 0.313872, 0.584409, 0.284800, 0.582646
153, 0.994926, 0.590044, 0.250634, 0.654403, 0.284700, 0.583795
154, 0.911804, 0.511745, 0.261024, 0.418601, 0.284600, 0.586443
155, 0.360791, 0.789145, 0.329901, 0.335325, 0.284500, 0.583991
156, 0.409970, 0.667358, 0.323754, 0.725470, 0.284400, 0.582684
157, 0.572860, 0.729332, 0.303392, 0.687618, 0.284300, 0.582411
158, 0.256544, 0.686157, 0.342932, 0.603147, 0.284200, 0.583402
159, 0.859234, 0.851276, 0.267596, 0.738414, 0.284100, 0.580855
160, 0.923054, 0.724250, 0.259618, 0.417811, 0.000000, 0.584273
161, 0.906919, 0.759093, 0.261635, 0.353459, 0.283900, 0.584266
162, 0.676873, 0.932676, 0.290391, 0.176998, 0.283800, 0.582875
163, 0.336609, 0.728502, 0.332924, 0.525810, 0.283700, 0.583501
164, 0.849038, 0.514696, 0.268870, 0.700844, 0.283600, 0.583752
165, 0.339506, 0.408780, 0.332562, 0.454223, 0.283500, 0.586636
166, 0.189608, 0.626777, 0.351299, 0.734865, 0.283400, 0.582908
167, 0.363831, 0.756788, 0.329521, 0.817845, 0.283300, 0.581305
168, 0.350010, 0.808592, 0.331249, 0.686619, 0.283200, 0.581618
169, 0.725287, 0.699532, 0.284339, 0.729219, 0.283100, 0.582395
170, 0.886265, 0.724792, 0.264217, 0.498373, 0.000000, 0.583725
171, 0.531738, 0.610280, 0.308533, 0.454239, 0.282900, 0.585252
172, 0.438843, 0.619294, 0.320145, 0.634608, 0.282800, 0.583745
173, 0.994934, 0.261161, 0.250633, 0.443721, 0.282700, 0.586283
174, 0.576570, 0.727496, 0.302929, 0.333481, 0.282600, 0.584798
175, 0.143154, 0.578824, 0.357106, 0.610554, 0.282500, 0.584236
176, 0.725035, 0.245947, 0.284371, 0.484711, 0.282400, 0.584601
177, 0.419966, 0.616270, 0.322504, 0.535346, 0.282300, 0.584552
178, 0.458108, 0.249480, 0.317737, 0.432655, 0.282200, 0.586364
179, 0.211355, 0.496830, 0.348581, 0.641007, 0.282100, 0.584381
180, 0.447553, 0.724228, 0.319056, 0.808835, 0.000000, 0.581643
181, 0.444669, 0.871725, 0.319416, 0.587686, 0.281900, 0.581475
182, 0.441040, 1.000000, 0.319870, 0.462776, 0.281800, 0.580483
183, 0.596165, 1.000000, 0.300479, 0.465800, 0.281700, 0.580468
184, 0.474983, 0.813881, 0.315627, 0.526359, 0.281600, 0.582521
185, 0.274363, 0.356249, 0.340705, 0.538090, 0.281500, 0.585521
186, 0.106551, 0.970275, 0.361681, 0.634792, 0.281400, 0.580017
187, 0.792320, 0.625719, 0.275960, 0.856198, 0.281300, 0.581970
188, 0.830107, 0.717633, 0.271237, 0.461925, 0.281200, 0.584052
189, 0.112910, 0.705142, 0.360886, 0.446360, 0.281100, 0.584300
190, 0.124125, 0.724102, 0.359484, 0.868250, 0.000000, 0.581244
191, 0.927644, 0.792260, 0.259044, 0.852574, 0.280900, 0.580768
192, 0.699327, 0.750602, 0.287584, 0.357256, 0.280800, 0.584349
193, 0.953423, 0.308153, 0.255822, 0.432536, 0.280700, 0.586984
