round, random_action, action, bestAction, profit, whitenoise, estimated_profit
31969, 0.656445, 0.750732, 0.292944, 0.588742, 0.108186, 0.608030
31970, 0.058765, 0.632870, 0.367654, 0.568431, 0.000000, 0.585231
31971, 0.757101, 0.753536, 0.280362, 0.900578, 0.108174, 0.856005
31972, 0.234175, 0.747615, 0.345728, 0.465807, 0.108168, 0.476059
31973, 0.085827, 0.626543, 0.364272, 0.789830, 0.108162, 0.788533
31974, 0.986573, 0.646453, 0.251678, 0.873394, 0.108156, 0.838892
31975, 0.898896, 0.644193, 0.262638, 0.389222, 0.108150, 0.362538
31976, 0.382893, 0.458378, 0.327138, 0.452399, 0.108144, 0.433180
31977, 0.148038, 0.662023, 0.356495, 0.713363, 0.108138, 0.738993
31978, 0.007416, 0.754565, 0.374073, 0.844379, 0.108132, 0.823430
31979, 0.657019, 0.851182, 0.292873, 0.915177, 0.108126, 0.855471
31980, 0.459340, 0.632753, 0.317583, 0.568146, 0.000000, 0.584896
31981, 0.619857, 0.776874, 0.297518, 0.638922, 0.108114, 0.660582
31982, 0.403392, 0.730357, 0.324576, 0.559593, 0.108108, 0.574517
31983, 0.169399, 0.547216, 0.353825, 0.685012, 0.108102, 0.705062
31984, 0.244872, 0.724842, 0.344391, 0.834122, 0.108096, 0.821360
31985, 0.445005, 0.652318, 0.319374, 0.788485, 0.108090, 0.789623
31986, 0.193983, 0.700355, 0.350752, 0.673675, 0.108084, 0.693545
31987, 0.744733, 0.645361, 0.281908, 0.814927, 0.108078, 0.805602
31988, 0.393675, 0.809031, 0.325791, 0.429599, 0.108072, 0.429738
31989, 0.333456, 0.629868, 0.333318, 0.706811, 0.108066, 0.728088
31990, 0.737335, 0.699564, 0.282833, 0.738865, 0.000000, 0.753863
31991, 0.952985, 0.659573, 0.255877, 0.518600, 0.108054, 0.521631
31992, 0.645751, 0.730211, 0.294281, 0.356947, 0.108048, 0.349047
31993, 0.563870, 0.644292, 0.304516, 0.572166, 0.108042, 0.588179
31994, 0.430710, 0.597257, 0.321161, 0.617970, 0.108036, 0.643566
31995, 0.878909, 0.657511, 0.265136, 0.687246, 0.108030, 0.714664
31996, 0.383219, 0.675349, 0.327098, 0.433570, 0.108024, 0.420897
31997, 0.567443, 0.730351, 0.304070, 0.703620, 0.108018, 0.719049
31998, 0.364520, 0.597103, 0.329435, 0.616186, 0.108012, 0.641803
31999, 0.799560, 0.791547, 0.275055, 0.694178, 0.108006, 0.711074
32000, 0.172716, 0.603369, 0.353411, 0.499641, 0.000000, 0.500198
32001, 0.656210, 0.794169, 0.292974, 0.819944, 0.107994, 0.804561
32002, 0.411443, 0.653806, 0.323570, 0.564550, 0.107988, 0.577920
32003, 0.435974, 0.643064, 0.320503, 0.697954, 0.107982, 0.723619
32004, 0.407207, 0.666288, 0.324099, 0.683750, 0.107976, 0.707285
32005, 0.133848, 0.449982, 0.358269, 0.634786, 0.107970, 0.653585
32006, 0.618106, 0.649999, 0.297737, 0.848332, 0.107964, 0.823836
32007, 0.520198, 0.584750, 0.309975, 0.590789, 0.107958, 0.611048
32008, 0.900748, 0.478826, 0.262407, 0.607371, 0.107952, 0.632227
32009, 0.457380, 0.540510, 0.317827, 0.458637, 0.107946, 0.452221
32010, 0.895783, 0.654018, 0.263027, 0.672867, 0.000000, 0.698990
32011, 0.482666, 0.423824, 0.314667, 0.443803, 0.107934, 0.423342
32012, 0.697093, 0.415536, 0.287863, 0.583919, 0.107928, 0.598126
32013, 0.364208, 0.633502, 0.329474, 0.546872, 0.107922, 0.555936
32014, 0.523557, 0.483312, 0.309555, 0.672274, 0.107916, 0.695404
