round, random_action, action, bestAction, profit, whitenoise, estimated_profit
152, 0.136540, 0.403447, 0.357932, 0.512802, 0.295440, 0.456362
153, 0.969587, 0.359907, 0.253802, 0.642927, 0.295410, 0.452358
154, 0.386203, 0.120992, 0.326725, 0.180321, 0.295380, 0.452435
155, 0.318357, 0.241222, 0.335205, 0.428441, 0.295350, 0.448337
156, 0.837239, 0.028886, 0.270345, 0.063161, 0.295320, 0.443710
157, 0.694901, 0.432273, 0.288137, 0.467653, 0.295290, 0.459666
158, 0.571296, 0.975787, 0.303588, 0.287471, 0.295260, 0.481500
159, 0.125851, 0.308640, 0.359269, 0.465899, 0.295230, 0.452207
160, 0.102969, 0.335105, 0.362129, 0.615459, 0.000000, 0.451465
161, 0.468168, 0.000000, 0.316479, 0.000000, 0.295170, 0.442301
162, 0.791608, 0.367540, 0.276049, 0.550316, 0.295140, 0.452564
163, 0.339391, 0.342301, 0.332576, 0.434662, 0.295110, 0.456358
164, 0.826845, 0.674882, 0.271644, 0.737222, 0.295080, 0.466448
165, 0.425770, 0.693523, 0.321779, 0.454320, 0.295050, 0.470115
166, 0.343449, 0.034611, 0.332069, 0.072250, 0.295020, 0.444413
167, 0.997965, 1.000000, 0.250254, 0.547126, 0.294990, 0.481760
168, 0.649023, 0.320143, 0.293872, 0.363295, 0.294960, 0.458698
169, 0.818716, 0.201507, 0.272660, 0.327107, 0.294930, 0.450188
170, 0.681311, 0.331983, 0.289836, 0.419770, 0.000000, 0.456448
171, 0.645375, 0.000000, 0.294328, 0.000000, 0.294870, 0.445335
172, 0.921605, 0.888958, 0.259799, 0.427225, 0.294840, 0.478336
173, 0.079780, 0.231951, 0.365027, 0.312069, 0.294810, 0.454999
174, 0.729102, 0.317997, 0.283862, 0.605313, 0.294780, 0.451033
175, 0.399067, 0.732381, 0.325117, 0.491999, 0.294750, 0.471376
176, 0.637722, 0.208076, 0.295285, 0.378834, 0.294720, 0.447742
177, 0.117253, 0.199721, 0.360343, 0.326683, 0.294690, 0.449996
178, 0.220167, 0.001906, 0.347479, 0.004574, 0.294660, 0.442391
179, 0.234219, 0.271302, 0.345723, 0.505804, 0.294630, 0.448588
180, 0.772759, 0.333627, 0.278405, 0.583437, 0.000000, 0.450893
181, 0.967350, 0.148690, 0.254081, 0.239125, 0.294570, 0.450401
182, 0.843392, 0.494727, 0.269576, 0.430081, 0.294540, 0.463393
183, 0.648676, 0.455653, 0.293916, 0.472855, 0.294510, 0.460443
184, 0.463788, 0.000000, 0.317027, 0.000000, 0.294480, 0.444967
185, 0.199759, 0.272685, 0.350030, 0.452394, 0.294450, 0.449771
186, 0.958156, 0.792303, 0.255231, 0.802626, 0.294420, 0.471277
